web-scraper-order,web-scraper-start-url,agencytypes,agencytypes-href,agencies,page
"1660156872-129","https://www.watereducation.org/water-related-organizationsagencies","State Agencies in California","https://www.watereducation.org/state-agencies-california-involved-water-issues","Colorado River Board of California",""
"1660156863-67","https://www.watereducation.org/water-related-organizationsagencies","Other California Organizations","https://www.watereducation.org/other-california-organizations-involved-water-issues","California State Association of Counties",""
"1660156858-48","https://www.watereducation.org/water-related-organizationsagencies","Water Associations and Groups","https://www.watereducation.org/water-associations-and-groups","Water Quality Association","https://www.watereducation.org/water-associations-and-groups?page=1"
"1660156861-53","https://www.watereducation.org/water-related-organizationsagencies","State and Federal Legislative Committees","https://www.watereducation.org/state-and-federal-legislative-committees","California Senate Committee on Natural Resources and Water",""
"1660156853-3","https://www.watereducation.org/water-related-organizationsagencies","Western States Water Agencies and Districts","https://www.watereducation.org/western-states-water-agencies-and-districts","Idaho",""
"1660156863-68","https://www.watereducation.org/water-related-organizationsagencies","Other California Organizations","https://www.watereducation.org/other-california-organizations-involved-water-issues","Center for Information Technology Research in the Interest of Society",""
"1660156866-81","https://www.watereducation.org/water-related-organizationsagencies","Environmental Organizations","https://www.watereducation.org/california-environmental-organizations-involved-water-issues","Clean Water Action",""
"1660156861-63","https://www.watereducation.org/water-related-organizationsagencies","State and Federal Legislative Committees","https://www.watereducation.org/state-and-federal-legislative-committees","U.S. Senate Subcommittee on Water and Wildlife",""
"1660156866-94","https://www.watereducation.org/water-related-organizationsagencies","Environmental Organizations","https://www.watereducation.org/california-environmental-organizations-involved-water-issues","Restore The Delta",""
"1660156866-80","https://www.watereducation.org/water-related-organizationsagencies","Environmental Organizations","https://www.watereducation.org/california-environmental-organizations-involved-water-issues","Bay Nature Institute",""
"1660156858-42","https://www.watereducation.org/water-related-organizationsagencies","Water Associations and Groups","https://www.watereducation.org/water-associations-and-groups","San Joaquin River Group Authority","https://www.watereducation.org/water-associations-and-groups?page=1"
"1660156878-138","https://www.watereducation.org/water-related-organizationsagencies","Federal Agencies","https://www.watereducation.org/federal-agencies-involved-water-issues","Bureau of Reclamation",""
"1660156866-89","https://www.watereducation.org/water-related-organizationsagencies","Environmental Organizations","https://www.watereducation.org/california-environmental-organizations-involved-water-issues","Mono Lake Committee",""
"1660156853-12","https://www.watereducation.org/water-related-organizationsagencies","Western States Water Agencies and Districts","https://www.watereducation.org/western-states-water-agencies-and-districts","Wyoming",""
